,French Polynesia,Australia,Egypt,Somalia,Algeria,United States,Brazil,Germany,Suriname,Kiribati,Denmark,South Africa,United Arab Emirates,Venezuela,Indonesia,Russian Federation,China,Western Samoa,Philippines,Yemen,Guatemala,Nigeria,Spain,Iran,Ivory Coast (Cote d'Ivoire),Ethiopia,Papua New Guinea,Saudi Arabia,United Kingdom,Mexico,Ghana,Colombia,Switzerland,Sri Lanka,Panama,Turkey,Namibia,Jordan,Sudan,South Sudan,Chad,Mauritania,Argentina,Norway,Iceland,Uzbekistan,Solomon Islands,Morocco,France,Sweden,Japan,Greenland,Greece,India,Paraguay,Guyana,Italy,Honduras,Oman,Madagascar,Marshall Islands,Central African Republic,Djibouti,Cook Islands,Comoros,Niger,Gabon,Libya,New Zealand,Cyprus,Canada,Kazakhstan,Myanmar,Peru,Syria,Andorra,Mozambique,Netherlands,Kenya,Chile,Congo,Angola,Belgium,Austria,Antigua and Barbuda,Malaysia,Laos,Bolivia,Fiji,Tanzania,Burkina Faso,Romania,Eritrea,Turkmenistan,Bahamas,Saint Helena,Ecuador,Pakistan,Uruguay,Aruba,East Timor,Vanuatu,Cuba,Mongolia,Portugal,United States Minor Outlying Islands,Anguilla,"Macau (SAR), China",Dominican Republic,Bahrain,Costa Rica,Azerbaijan,Democratic Republic of the Congo,Botswana,Cambodia,Guadeloupe,Zambia,Belize,Bermuda,Seychelles,Nepal,Nicaragua,Serbia,Israel,Lebanon,Zimbabwe,Thailand,Cameroon,Barbados,Iraq,Afghanistan,Gambia,Burundi,Guinea,Mali,Ireland,Malawi,Vietnam,New Caledonia,Bosnia and Herzegovina,Bulgaria,"Bonaire, Saint Eustatius & Saba",Guinea Bissau,Belarus,Saint Vincent and Grenadines,Czech Republic,Equatorial Guinea,Sierra Leone,Rwanda,Slovakia,Hungary,Georgia,Bhutan,Cape Verde,Croatia,Brunei Darussalam,Senegal,Poland,Liberia,Bangladesh,Moldova,Haiti,French Guiana,Cocos (Keeling) Islands,Estonia,South Korea,Ukraine,Chinese Taipei,Benin,Grenada and South Grenadines,Curacao,Cayman Islands,Dominica,Maldives,Unknown Country,Latvia,Qatar,Tunisia,North Korea,Albania,Tajikistan,Mayotte,Uganda,British Virgin Islands,Finland,Tonga,Western Sahara,Armenia,Martinique,Kyrgyzstan,Saint Pierre and Miquelon,Tuvalu,Wallis and Futuna Islands,Turks and Caicos Islands,Gibraltar,Palestinian Territory,Malta,"Hong Kong (SAR), China",Lithuania,Montenegro,El Salvador,Nauru,Niue,Jamaica,Micronesia,Kuwait,Lesotho,Togo,Slovenia,Luxembourg,Monaco,Singapore,Montserrat,Falkland Islands,Mauritius,Swaziland,Saint Kitts and Nevis,Norfolk Island,Macedonia,Sao Tome and Principe,Trinidad and Tobago,Liechtenstein,Palau,Reunion,Saint Barthelemy,Saint Martin,Saint Lucia,Sint Maarten,Antarctica,Christmas Island
Nepal,0,5555,151,11,0,4589,75,1650,0,0,496,122,13573,0,1244,229,20892,0,285,0,0,49,699,115,0,6,0,15713,8423,51,36,2,318,670,4,1224,0,425,122,12,0,0,11,230,26,0,0,3,1095,117,8220,0,37,39041,0,0,1167,0,1891,9,0,9,10,0,0,0,0,0,358,1014,740,0,77,0,0,0,13,657,65,3,0,0,393,107,0,14724,8,0,0,22,0,337,0,1,0,0,0,179,0,0,0,0,0,14,1204,0,0,30,0,2093,3,315,0,5,184,0,0,0,0,31,180316,0,16,126,35,6,9582,0,0,9,84,2,19,0,0,111,2,279,0,3,0,0,0,2,0,179,0,5,14,6,62,0,3828,0,312,38,15,207,0,5408,0,2,0,0,25,3091,44,301,0,0,0,1,0,109,0,17,15812,21,0,3,0,3,58,0,178,0,0,8,0,0,0,0,0,0,0,0,526,2909,3,0,0,0,0,0,0,4167,0,2,12,18,0,2922,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Nicaragua,0,45,4,0,0,22309,214,422,7,0,126.99999,105.99996,20,32.00001,0,49,256.00002,0,0,0,4165.99989,0,3537.99992,0,0,0,0,0,378.00006,2013.00027,0,822.99987,276.00001,0,3573.00028,6,0,0,0,0,0,0,79.00006,24,0,12,0,2,566.00007,266.00001,2,0,7,12,10,12,274.00004,1469.00001,0,0,0,0,0,0,0,0,0,0,0,3,2146.99979,0,0,146.99998,0,0,0,201.00001,0,116.00005,0,0,25,6,0,0,0,30,0,0,0,0,0,0,74,0,155.99994,0,50,46,0,0,2264.00002,0,29,0,0,0,702,0,3812.00025,0,0,0,0,2,0,49,0,0,0,21383,0,9,0,0,3,0,4,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,16.99999,0,0,0,0,12,0,0,0,0,0,0,17,0,0,0,111,0,0,0,37.00002,12,7,0,0,0,59,3,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,8.00001,0,0,1293.00021,0,0,64,0,6,0,0,0,0,0,7,0,0,0,0,117,0,0,0,20,0,0,0,0,0,78,95,0,0
Serbia,0,1504,1144,4,34,5164,115,60825,12,0,1638,240,4258,8,279,9034,7271,0,43,0,0,76,3313,90,3,17,0,548,9800,108,41,105,53602,155,15,16388,3,123,20,6,0,6,151,3413,220,142,0,184,12452,10441,252,0,3848,480,0,0,9168,0,110,0,0,0,3,0,0,4,0,8,35,1722,1625,186,0,33,0,0,26,5011,28,17,0,261,2370,11339,0,97,2,0,0,69,10,1310,0,29,0,0,5,41,42,3,0,0,235,12,528,0,0,0,108,69,35,110,11,41,7,0,33,0,0,58,7,0,0,2358,568,0,969,42,4,439,68,29,0,2,2,224,2,133,6,1271,531,0,0,382,0,1012,0,2,7,1461,1366,71,0,0,1184,0,0,1366,0,24,43,0,0,0,124,112,871,38,0,0,0,0,0,257,0,105,404,638,0,340,31,0,31,0,980,0,0,37,0,61,0,0,0,0,0,0,3263,891,98,14615,0,0,0,4,0,282,0,4,2521,64,0,428,0,0,66,0,7,0,480,0,13,0,0,0,0,0,0,4,0,0
Israel,0,4230,3309,3,60,93177,4687,49454,0,0,2652,3936,423,78,201,38929,9556,0,2858,0,259,955,31951,10,116,3642,0,84,47996,4678,172,720,16931,1287,1410,45049,5,397,1,46,22,0,6969,1448,61,750,0,1675,45819,2233,3013,0,19746,9936,165,0,46636,20,7,23,0,27,3,0,8,8,7,26,743,19907,9184,361,109,598,0,0,13,20073,795,763,21,279,10353,20284,30,37,8,18,0,1116,29,27327,0,10,168,0,201,3,257,194,0,0,611,61,4565,0,0,0,631,12,365,2610,125,82,96,0,69,0,86,794,208,9,2399,50017,8,133,18345,66,0,78,5,24,0,14,12,1306,17,1702,0,102,14967,41,0,420,0,12030,18,14,906,1383,24139,14620,0,9,568,0,75,30975,45,0,2682,7,0,0,155,3009,23526,1163,12,0,0,7,0,315,0,1922,91,25,0,236,5,0,341,0,1593,0,0,849,4,103,0,0,0,122,14,0,1093,3329,6024,54,52,0,0,183,0,0,0,58,245,244,0,2562,0,0,285,0,19,0,89,0,6,0,0,1,0,0,0,137,0,0
Lebanon,0,4477,10655,108,1121,5808,809,10744,0,0,2779,409,32397,275,380,1121,596,0,1014,0,0,2116,2718,1701,1930,6260,0,30136,6863,162,1053,88,2888,612,63,18241,8,9985,1906,132,39,21,51,436,3,43,0,1179,17527,2322,177,0,3209,2323,19,0,5141,0,1793,13,0,94,56,0,5,45,333,0,48,7925,6916,96,23,3,1127,0,138,2198,227,22,220,153,1690,549,0,563,2,2,19,179,162,866,7,3,0,0,31,800,0,0,0,0,49,2,263,0,0,0,2,1503,17,195,609,36,20,2,221,0,0,38,177,0,173,0,0,57,652,214,0,17451,127,84,29,141,136,236,46,92,0,92,415,0,22,240,0,493,75,137,31,0,234,184,0,0,62,0,301,609,177,2113,70,3,1,0,4,107,526,8,376,0,1,0,0,138,0,15,9803,1032,0,47,3,0,113,0,144,0,4,980,3,49,0,0,0,0,0,0,56,113,60,32,0,0,0,3,0,10649,0,115,4,94,0,114,0,0,44,0,0,0,68,0,18,0,0,1,0,0,0,3,0,0
Zimbabwe,0,1631,182,16,0,367,24,531,0,0,105,29779,990,0,8,93,1306,0,1,0,0,160,106,4,0,245,3,13,7102,3,214,0,212,18,0,10,1085,0,73,27,0,0,4,59,0,0,0,0,339,100,49,0,9,414,0,0,133,0,28,10,0,0,10,0,0,2,0,0,209,22,473,0,2,0,0,0,334,98,1433,0,6,324,96,159,0,74,2,0,1,1688,0,0,4,0,0,0,6,63,0,0,0,0,0,0,59,0,0,0,0,6,5,0,46,306,0,0,6904,0,1,38,5,0,0,63,52,21225,87,3,0,24,0,0,56,2,13,137,493,7,0,0,0,0,0,0,0,36,0,7,335,0,4,0,0,0,0,0,18,38,2,2,0,0,0,0,0,49,69,3,0,0,0,0,0,0,0,0,62,3,0,0,0,0,214,3,149,0,0,0,0,0,0,0,0,0,0,0,0,233,0,0,0,0,0,0,0,23,20,2,0,0,0,65,0,0,119,54,0,0,0,3,0,0,0,3,0,0,0,0,0,0
Thailand,0,67349,2694,18,21,38107,4356,76064,0,0,33203,4765,24355,2,74017,161333,945957,8,44442,0,7,400,10032,3788,178,1417,83,4656,84384,830,263,190,29754,11552,35,10599,71,777,214,37,4,0,1695,20106,640,2145,0,440,54753,50406,266459,0,2194,184478,43,3,35120,0,9687,235,0,11,44,0,9,49,56,0,8354,477,11393,4459,67172,38,2,0,236,16007,1897,258,55,112,13649,22573,0,140212,34001,21,59,308,62,5122,24,2512,0,0,14,8490,204,14,37,2,84,2358,2584,0,0,25027,3,4987,14,551,15,84,81120,0,134,0,0,57,10099,0,1198,16316,1078,87,2477350,116,1,623,337,0,56,39,54,5500,34,150146,75,120,1757,0,0,446,0,5914,48,0,58,348,5671,1421,3078,4,1693,2229,118,8618,13,18721,121,0,0,0,3603,202394,8595,108052,28,0,0,6,0,8136,0,2064,7267,216,2,102,0,83,474,0,17801,0,9,196,2,174,0,0,0,3,0,0,222,152228,1691,0,0,0,0,38,0,10059,0,50,177,707,0,191891,0,0,1228,3,0,0,71,0,15,0,17,1630,0,0,0,6,0,0
Cameroon,0,30,341,0,4,806,28,2343,0,0,118,530,1656,9,23,90,1013,0,77,0,0,1199,353,0,1841,717,0,118,1085,9,479,5,1284,0,0,377,0,6,3,0,1631,0,0,105,0,11,0,1596,12428,118,74,0,52,335,0,0,1056,0,11,7,0,2002,4,0,0,115,6006,0,11,61,1563,0,3,0,0,0,0,159,400,0,1364,0,955,149,0,25,0,0,0,38,184,31,0,0,0,0,0,16,0,0,0,0,0,0,101,0,0,0,0,256,10,0,965,17,0,1,29,0,0,0,3,0,21,26,141,18,91,14264,0,4,0,1,0,34,263,29,2,75,0,5,0,0,0,0,0,4,5108,33,219,0,46,0,0,0,26,0,717,75,10,8,9,2,0,0,0,170,48,2,726,0,0,0,0,0,0,0,58,115,0,4,0,0,71,0,45,0,2,0,0,0,0,0,0,0,0,0,8,103,19,0,0,0,0,0,0,78,0,934,0,48,0,32,0,0,20,0,0,0,0,176,0,0,0,0,0,0,0,0,0,0
Barbados,0,22,53,0,0,23033,55,8378,50,0,85,39,12,19,0,257,37,0,0,0,45,1,36,11,0,0,0,1,43664,71,0,117,142,5,377,35,0,1,0,0,0,0,37,66,0,0,0,0,557,230,3,0,17,5,0,1666,863,42,0,0,0,0,0,0,0,0,0,0,27,0,9885,0,0,8,0,0,0,154,0,29,0,0,55,236,616,6,0,0,0,0,0,126,0,2,273,0,37,0,0,0,0,0,104,0,38,0,0,0,100,2,57,0,0,0,0,117,0,0,17,43,0,0,8,0,1,0,0,0,0,4,0,0,0,0,0,832,0,0,0,0,38,0,0,13,3078,34,0,0,0,0,65,0,0,0,29,0,0,30,0,0,0,0,0,0,0,9,0,4,0,2653,52,150,1747,87,0,24,0,3,0,0,0,0,0,209,128,0,0,0,721,0,0,0,0,30,1,0,9,0,41,0,16,0,0,863,0,0,0,0,0,20,0,1,0,0,40,0,1230,0,0,0,3487,0,0,0,27,0,2307,80,0,0
Iraq,0,717,6277,36,298,3108,32,9506,0,0,3479,167,22799,22,331,1661,6473,0,186,0,0,37,716,41872,9,60,0,3081,8942,8,58,13,889,291,0,54651,4,11984,258,11,0,23,0,1397,0,101,0,91,932,7671,171,0,195,10240,0,0,1426,0,604,0,0,6,25,0,0,4,0,86,99,282,1279,290,0,0,15068,0,0,1182,1488,4,0,0,296,402,0,1752,3,0,7,91,0,346,21,0,0,0,0,4986,0,0,0,0,8,0,33,0,0,0,6,5228,0,4966,0,0,2,4,0,0,0,27,127,0,314,65,17847,21,447,6,0,52166,328,0,0,0,4,111,0,16,0,326,1333,0,0,767,0,282,0,3,0,2,176,325,5,0,55,1,6,52,0,397,0,0,1,0,8,280,991,5,0,0,0,0,0,4,0,10,5313,127,0,23,108,0,264,0,482,0,0,422,4,177,0,0,0,0,0,0,11,42,4,0,0,0,0,0,0,2029,0,5,7,4,0,55,0,0,8,0,0,0,332,0,2,0,0,0,0,0,0,0,0,0
Afghanistan,0,439,694,7,15,859,0,2143,0,0,219,119,23423,0,0,469,304,0,5,0,0,8,32,1156,4,28,0,7515,2675,0,6,0,72,36,0,5810,0,73,212,22,0,0,0,334,0,648,0,8,87,241,10,0,86,16348,0,0,167,0,324,0,0,0,36,0,0,0,0,23,41,9,508,158,0,0,13,0,0,184,62,0,0,0,302,117,0,58,0,0,0,0,0,86,18,0,0,0,0,1571,0,0,0,0,4,0,3,0,0,0,0,14,0,0,4,0,2,0,2,0,0,0,24,0,32,4,56,0,264,0,0,647,56972,0,0,0,0,55,0,0,0,110,4,0,0,0,0,328,0,0,0,0,14,2,0,0,22,0,3,22,0,2,0,0,0,0,6,0,84,0,0,0,0,0,0,0,0,0,5,77,0,5,978,0,44,0,93,0,0,167,0,511,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,523,0,0,0,0,0,19,0,0,0,0,0,0,29,0,0,0,0,0,0,0,0,0,0,0
Gambia,0,8,17,0,15,141,7,3602,0,0,559,8,145,0,0,8,129,0,0,0,0,340,2344,0,6,23,0,43,2399,0,1405,0,351,2,0,1291,0,2,2,0,0,2,0,366,0,0,0,201,365,2176,4,0,33,116,0,0,763,0,31,0,0,0,0,0,0,5,0,0,0,10,73,0,0,0,0,0,0,3332,4,0,0,0,443,115,0,4,0,0,0,17,11,1,0,0,0,0,0,6,0,0,0,0,4,0,195,0,0,0,0,6,0,0,0,2,0,0,3,0,0,0,2,0,4,3,76,0,4,0,0,0,5,0,0,2309,6,20,0,0,0,5,0,0,499,0,0,92,0,1810,9,0,19,0,0,965,12,0,2592,33,693,15,0,0,0,0,0,12,3,5,2,0,0,0,0,0,0,0,54,0,0,0,0,0,4,0,94,0,0,0,0,0,0,0,0,0,0,0,16,24,0,0,0,0,0,0,0,2,0,12,0,0,0,2,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0
Burundi,0,151,57,4,0,86,10,42,0,0,11,112,89,0,7,18,104,0,2,0,0,0,6,0,3,142,0,46,48,0,2,0,29,0,0,6,0,0,13,11,0,0,4,41,0,0,0,0,142,211,11,0,4,41,0,0,107,0,265,0,0,12,26,0,0,0,0,0,9,3,350,0,4,0,0,0,0,48,3788,0,19,0,93,6,0,0,0,0,0,864,0,0,8,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,3,0,0,0,57,0,0,0,0,0,0,0,18,21,18,0,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,4162,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,28,3,6,0,0,0,0,0,0,0,0,0,20,0,0,0,11,1012,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Guinea,0,119,430,0,7,178,5,586,0,0,6,141,465,0,77,77,2151,0,9,0,0,179,460,6,3862,138,0,30,410,0,199,0,202,0,0,316,0,0,3,0,26,103,0,6,0,0,0,670,6318,71,49,0,9,244,0,0,584,0,89,0,0,4,0,0,0,23,0,0,0,5,503,0,10,0,0,0,0,85,14,0,18,0,564,59,0,38,0,0,0,7,238,20,0,0,0,0,0,16,0,0,0,0,0,0,99,0,0,0,0,0,0,0,12,0,5,0,0,0,0,0,0,0,3,23,95,3,52,33,0,0,0,2389,0,0,1218,0,0,31,0,0,3,0,0,9,0,36,0,209,16,0,5,0,0,0,0,0,3620,0,7,31,0,0,0,0,0,38,11,4,24,0,0,0,0,0,0,0,34,310,0,0,0,0,4,0,11,0,0,7,0,0,0,0,0,0,0,0,0,69,0,0,0,0,0,0,0,11,0,190,0,0,0,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mali,0,15,242,0,295,521,5,1424,0,0,37,412,672,0,12,86,835,0,8,0,0,144,1148,0,2784,388,0,266,311,5,711,0,305,15,0,268,13,15,17,0,114,1171,0,57,0,0,0,1013,9517,39,13,0,11,410,0,0,1039,0,8,5,0,24,0,0,0,1225,254,0,0,0,553,0,0,0,0,0,17,223,200,0,479,0,101,61,0,3,3,0,0,25,2739,25,0,0,0,0,0,22,0,0,0,0,0,0,95,0,0,0,3,0,0,0,79,0,10,0,11,0,0,0,3,0,0,15,76,80,55,273,0,0,0,9,0,1224,0,21,3,0,0,0,0,0,16,18,0,7,3,3,76,0,6,3,0,0,4,0,7920,0,6,50,0,0,0,0,27,9,28,0,1640,0,0,0,0,0,0,0,30,496,0,0,0,0,41,0,0,0,0,0,0,0,0,0,0,0,0,0,3,63,0,0,0,0,0,0,0,51,0,485,0,20,0,16,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ireland,23,16393,784,7,327,83836,5802,64590,10,0,9430,4576,7951,12,698,1501,5493,0,2334,0,44,1923,95412,68,44,144,0,682,415108,1491,160,205,18359,428,92,3120,32,125,59,21,14,11,483,3518,2715,9,0,2075,51560,6160,1510,0,2495,7421,10,19,45262,7,153,35,0,0,3,0,11,0,8,0,2589,773,8959,52,36,221,0,0,39,45268,591,510,17,18,19362,8865,133,1643,12,61,8,194,4,7843,6,14,47,0,45,1285,52,42,0,0,415,38,21854,0,0,0,323,211,265,52,38,52,153,0,42,12,121,7,163,10,279,1253,98,68,4829,30,629,170,57,8,8,12,6,7465,45,1249,0,24,2132,8,0,198,0,7007,15,63,53,3710,10308,55,0,24,1085,0,22,42973,4,404,2671,7,0,0,260,771,1567,433,0,18,51,68,0,235,0,6256,820,238,0,74,0,14,255,98,1813,0,1,26,0,7,0,0,0,0,7,0,3858,1794,6921,0,41,0,0,185,0,257,11,15,169,3481,0,2502,0,0,276,0,0,0,16,0,46,0,0,26,0,0,99,28,0,0
Malawi,0,130,117,0,0,438,2,167,0,0,9,3535,393,0,5,0,188,0,10,0,0,4,68,2,2,2736,0,31,964,0,33,0,27,15,0,28,37,5,12,0,0,0,0,58,0,0,0,8,23,18,33,0,23,1515,0,0,92,0,29,13,0,0,0,0,0,0,0,0,11,0,89,0,3,0,0,0,171,40,1358,0,0,10,42,6,0,50,0,0,0,1027,0,2,0,0,0,0,0,316,0,0,0,0,0,0,23,0,0,0,0,2,0,0,59,114,5,0,693,0,0,0,2,0,0,29,75,531,39,0,0,3,0,0,21,0,0,132,3025,0,0,0,0,0,3,0,0,3,0,3,140,0,0,0,0,0,0,0,4,0,0,83,0,0,0,0,0,87,8,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,176,0,8,0,0,0,0,0,0,0,0,0,0,0,0,42,0,0,0,0,0,0,0,20,10,9,0,0,0,7,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Vietnam,9,46747,225,0,17,147067,355,19730,0,0,5591,1357,5199,3,23743,55966,242628,0,17094,0,0,283,2541,94,33,40,6,439,13952,217,78,31,5231,1272,28,1316,7,21,3,0,0,11,24,2335,202,6,0,126,17589,5922,125074,0,291,21809,0,0,4802,0,179,0,0,0,0,0,0,0,2,0,4252,215,13251,68,10625,13,0,0,37,2968,206,95,4,245,1733,2355,0,75489,11527,0,6,12,4,591,0,5,0,0,11,268,15,0,6,0,193,212,495,0,0,14671,10,15,32,38,16,6,48184,0,5,0,0,105,513,4,194,1048,104,0,159896,47,8,15,3,0,0,11,0,1119,3,2960573,21,0,552,0,0,74,0,4797,9,0,3,14,928,76,13,0,371,929,38,5215,5,708,42,3,0,0,471,421529,1430,128378,0,0,0,6,0,727,0,254,3241,63,12,0,0,0,36,0,3327,0,0,19,0,10,0,0,0,0,2,0,96,55724,301,4,12,0,0,0,0,202,0,0,90,159,0,84862,0,0,81,0,0,0,59,0,0,0,3,11,0,0,0,28,0,0
New Caledonia,985,9656,0,0,0,102,10,36,0,0,0,4,13,0,20,23,11,0,0,0,0,0,5,0,0,0,0,0,479,4,0,0,207,0,0,0,0,0,0,0,0,0,3,9,0,0,0,0,4138,0,5071,0,0,0,0,0,55,0,0,0,0,0,0,12,0,0,0,0,3477,0,87,0,0,0,0,0,0,52,0,0,0,0,158,10,0,16,0,0,439,0,0,0,0,0,0,0,0,0,0,0,0,2516,0,0,6,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,141,0,0,0,0,0,0,0,0,0,0,58,34928,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,72,0,70,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,30,0,0,0,0,0,0,0,1028,0,0,0,0,51,0,0,0,0,0,0,0,0,0,0,0,7,0,116,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bosnia and Herzegovina,0,320,70,2,5,133,5,17029,0,0,2095,42,1037,0,84,152,431,0,6,0,0,18,240,97,0,0,0,378,356,0,0,0,3073,5,0,7590,0,76,20,0,0,0,5,515,15,0,0,53,793,6281,92,0,100,75,0,0,1626,0,160,0,0,0,0,0,0,0,0,0,0,90,252,23,0,0,0,0,0,1785,5,0,0,0,1569,917,0,45,0,0,0,123,7,44,0,0,0,0,0,58,0,0,0,0,0,0,49,0,0,0,27,316,0,8,0,0,0,0,0,0,0,11,0,0,1056,236,84,0,52,0,0,277,113,3,0,0,3,19,0,149,0,0,47,0,0,5,0,63,0,0,0,0,1348,41,0,0,1253,0,0,116,0,0,10,0,0,0,0,32,68,33,0,0,0,0,0,0,0,0,621,0,0,15,0,0,0,0,114,0,0,0,0,73,0,0,0,0,0,0,31,56,0,39,0,0,0,0,0,450,0,0,18,26,0,84,0,0,0,0,0,0,218,0,0,0,0,0,0,0,0,0,0,0
Bulgaria,0,340,2057,9,10,2755,221,45992,0,0,4573,247,3004,8,503,9602,949,0,173,0,0,80,17523,57,15,15,2,190,84923,281,72,33,4910,143,31,4074,4,1424,4,0,0,0,175,1988,52,147,0,213,12933,1822,587,0,9515,670,4,4,26087,0,38,0,0,0,12,0,0,6,0,0,104,4731,659,249,0,46,0,0,13,12627,121,26,0,0,9074,10126,0,372,0,0,0,435,15,1269,0,0,39,0,3,32,3,0,0,0,109,19,955,0,0,0,81,92,32,91,7,19,51,2,17,0,0,627,0,4,332,15031,286,0,2040,0,36,32,4,0,0,3,0,2282,3,643,0,50,16028,3,0,78,0,2298,0,0,0,2669,2465,84,0,0,247,0,10,1675,0,79,106,0,0,0,269,390,2809,215,7,0,0,0,0,776,0,318,272,71,0,113,229,0,11,0,740,0,0,83,1,178,0,0,0,0,0,0,2033,176,299,20,0,0,0,0,0,118,0,6,226,198,0,857,0,0,433,0,0,0,12,0,0,0,0,0,0,0,0,13,0,0
"Bonaire, Saint Eustatius & Saba",0,0,5,0,0,4099,22,52,126,0,65,0,7,0,0,6,11,0,2,0,0,0,68,3,0,0,0,0,60,32,0,37,189,0,0,40,0,0,0,0,0,0,0,39,0,0,0,0,193,0,0,0,11,0,0,0,79,0,0,0,0,0,0,0,0,0,0,0,0,0,670,0,0,0,0,0,0,6295,0,5,0,0,0,64,6,0,0,0,0,0,0,0,0,0,0,0,3,0,0,269,0,0,6,0,0,0,2,0,257,3,0,0,0,0,0,8,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,300,0,0,0,0,0,0,0,0,9,0,0,0,7,0,0,34,0,0,0,1,0,0,0,0,0,0,0,0,5210,0,0,0,0,0,0,2,0,0,0,0,0,1,8,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,51,0,0,3615,0,0
Guinea Bissau,0,0,0,0,0,11,31,65,0,0,2,10,0,0,38,0,54,0,0,0,0,8,46,0,8,14,0,2,109,0,12,0,27,0,0,6,0,0,3,0,19,1,0,0,0,0,0,679,126,4,0,0,0,2,0,0,197,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,8,0,0,5,0,2,0,0,0,0,0,0,0,22,0,0,0,0,0,0,19,0,0,0,0,0,0,2988,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,496,0,0,2,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51,0,0,1894,0,0,13,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,73,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Belarus,0,66,39,0,4,1614,14,6656,0,0,330,30,1021,11,146,33661,2485,0,16,0,0,6,808,66,6,0,0,89,1792,48,40,0,1174,245,4,4117,0,35,3,0,0,0,14,267,0,1198,0,62,1191,531,44,0,208,452,0,0,3678,0,264,0,0,0,5,0,0,10,0,0,0,740,356,1252,0,8,0,0,0,1173,21,9,0,12,1051,1670,0,48,0,6,0,21,0,55,0,1198,0,0,3,23,5,0,0,0,169,4,171,0,0,0,51,90,0,990,0,0,6,0,0,0,0,91,2,0,300,2102,288,0,815,0,0,896,0,0,0,3,14,209,0,67,0,0,70,0,0,0,0,1479,0,0,0,0,634,683,0,0,49,0,3,2227,0,19,351,0,0,0,798,67,3612,12,0,0,0,0,0,154,0,878,107,22,0,5,566,0,9,0,302,0,0,717,0,21,0,0,0,0,0,0,24,81,586,20,0,0,0,4,0,83,0,0,4,39,0,70,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Saint Vincent and Grenadines,0,0,0,0,0,2321,0,0,13,0,6,0,2,14,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1598,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,58,14,0,0,0,0,0,0,0,0,0,0,0,0,0,1685,0,0,0,0,0,0,0,0,14,0,0,0,0,45,0,0,0,0,0,0,0,0,0,0,0,27,0,0,0,0,0,9,0,1,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,1,0,0,0,2323,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,212,0,0,126,0,0,0,0,0,0,0,0,0,0,413,0,0,0,0,205,0,0,0,0,1,0,0,0,0,0,0,0,0,0,57,0,0,0,0,0,0,0,0,0,0,0,0,126,0,0,0,4195,0,0,0,0,0,715,19,0,0
